"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[현대] 아반떼MD M16 GDi 프리미어",2231,60어6711,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801519%2FA250801519_02_03.jpg%3F20250818153940&type=m&w=800&h=500&quality=90&ttype=jpg,112598,350,"[현대] 아반떼MD M16 GDi 프리미어",A/T,2012,"현대 경매장",KMHDH41DBCU479262,"A / 3"
"[기아] 더 뉴K5 2.0 CVVL 트렌디",2232,19모8152,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801566%2FA250801566_02_03.jpg%3F20250818191616&type=m&w=800&h=500&quality=90&ttype=jpg,282683,391,"[기아] 더 뉴K5 2.0 CVVL 트렌디",A/T,2014,"현대 경매장",KNAGM419BEA449665,"A / 4"
"[기아] 신형 K5 1.7 디젤 노블레스 MX",2233,02두0239,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801456%2FA250801456_02_03.jpg%3F20250818132337&type=m&w=800&h=500&quality=90&ttype=jpg,116455,800,"[기아] 신형 K5 1.7 디젤 노블레스 MX",A/T,2016,"현대 경매장",KNAGU415GGA005285,"A / 6"
"[현대] 그랜저HG HG 240 럭셔리",2234,63러8668,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2507%2FA250707650%2FA250707650_02_03.jpg%3F20250725105851&type=m&w=800&h=500&quality=90&ttype=jpg,257487,300,"[현대] 그랜저HG HG 240 럭셔리",A/T,2012,"현대 경매장",KMHFF41CBCA188344,"A / 3"
"[기아] 올 뉴K3 1.6 가솔린 럭셔리",2235,170소2782,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801226%2FA250801226_02_03.jpg%3F20250814093604&type=m&w=800&h=500&quality=90&ttype=jpg,100436,700,"[기아] 올 뉴K3 1.6 가솔린 럭셔리",A/T,2019,"현대 경매장",KNAF241BEKA816696,"A / 1"
"[현대] LF쏘나타 뉴라이즈 LPi 택시 스타일",2236,301어7111,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800742%2FA250800742_02_03.jpg%3F20250818124410&type=m&w=800&h=500&quality=90&ttype=jpg,262974,465,"[현대] LF쏘나타 뉴라이즈 LPi 택시 스타일",A/T,2019,"현대 경매장",KMHE341DBKA514632,"A / 1"
"[기아] 뉴 신형K5 2.0 LPI 렌터카 럭셔리",2237,37허3329,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250800670%2FA250800670_02_03.jpg%3F20250808124809&type=m&w=800&h=500&quality=90&ttype=jpg,170400,650,"[기아] 뉴 신형K5 2.0 LPI 렌터카 럭셔리",A/T,2019,"현대 경매장",KNAGS416BKA294561,"A / 6"
"[현대] LF쏘나타 뉴라이즈 LPi 렌터카 스타일",2238,49하1721,,LPG,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801555%2FA250801555_02_03.jpg%3F20250818181229&type=m&w=800&h=500&quality=90&ttype=jpg,201009,600,"[현대] LF쏘나타 뉴라이즈 LPi 렌터카 스타일",A/T,2019,"현대 경매장",KMHE341DBKA530245,"A / 3"
"[기아] K9(KH) 3.3 GDI 노블레스 스페셜",2239,31우3157,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801650%2FA250801650_02_03.jpg%3F20250818132117&type=m&w=800&h=500&quality=90&ttype=jpg,291041,443,"[기아] K9(KH) 3.3 GDI 노블레스 스페셜",A/T,2013,"현대 경매장",KNALU411BDS008245,"A / 1"
"[현대] 그랜저HG HG 240 모던",2240,56소3237,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801655%2FA250801655_02_03.jpg%3F20250818142009&type=m&w=800&h=500&quality=90&ttype=jpg,183318,345,"[현대] 그랜저HG HG 240 모던",A/T,2014,"현대 경매장",KMHFF41CBEA302573,"A / 2"
